33 chapters, 1314 paragraphs, 176671 chars (core 869) (medium 206) (long 239)
Voice ne-NP-HemkalaNeural  rate -22%  pitch -6Hz  volume -12%

[bedtime] Bedtime: rate -22% pitch -6Hz, one clip per sentence
  ✓ ch02-p04-s02  (64 chars, 38KB)
  ✓ ch02-p04-s03  (38 chars, 25KB)
  ✓ ch02-p04-s00  (75 chars, 43KB)
  ✓ ch02-p05-s00  (35 chars, 24KB)
  ✓ ch02-p05-s01  (42 chars, 29KB)
  ✓ ch02-p06-s01  (43 chars, 29KB)
  ✓ ch02-p06-s00  (36 chars, 22KB)
  ✓ ch02-p07-s00  (36 chars, 26KB)
  ✓ ch02-p07-s01  (45 chars, 30KB)
  ✓ ch02-p04-s01  (147 chars, 90KB)
  ✓ ch02-p07-s02  (39 chars, 27KB)
  ✓ ch02-p08-s00  (35 chars, 25KB)
  ✓ ch02-p08-s01  (28 chars, 23KB)
  ✓ ch02-p09-s00  (30 chars, 22KB)
  ✓ ch02-p08-s03  (45 chars, 30KB)
  ✓ ch02-p08-s02  (68 chars, 43KB)
  ✓ ch02-p10-s00  (30 chars, 21KB)
  ✓ ch02-p09-s02  (79 chars, 46KB)
  ✓ ch02-p09-s01  (81 chars, 51KB)
  ✓ ch02-p10-s02  (37 chars, 28KB)
  ✓ ch02-p10-s01  (54 chars, 34KB)
  ✓ ch02-p11-s00  (14 chars, 15KB)
  ✓ ch02-p11-s01  (28 chars, 20KB)
  ✓ ch02-p11-s02  (35 chars, 23KB)
  ✓ ch02-p12-s01  (51 chars, 32KB)
  ✓ ch02-p12-s00  (45 chars, 30KB)
  ✓ ch02-p14-s00  (21 chars, 20KB)
  ✓ ch02-p13-s00  (58 chars, 39KB)
  ✓ ch02-p14-s01  (92 chars, 55KB)
  ✓ ch02-p14-s02  (140 chars, 82KB)
  ✓ ch02-p12-s02  (70 chars, 46KB)
  ✓ ch02-p14-s03  (91 chars, 56KB)
  ✓ ch02-p15-s00  (37 chars, 27KB)
  ✓ ch02-p15-s01  (34 chars, 22KB)
  ✓ ch02-p14-s04  (65 chars, 39KB)
  ✓ ch02-p18-s00  (22 chars, 19KB)
  ✓ ch02-p18-s01  (29 chars, 23KB)
  ✓ ch02-p21-s00  (11 chars, 14KB)
  ✓ ch02-p16-s00  (78 chars, 58KB)
  ✓ ch02-p19-s00  (70 chars, 58KB)
  ✓ ch02-p21-s01  (58 chars, 34KB)
