28 chapters, 1081 paragraphs, 136920 chars (core 556) (medium 209) (long 316)
Voice ne-NP-SagarNeural  rate -20%  pitch -3Hz  volume -12%

[bedtime] Bedtime: rate -20% pitch -3Hz, one clip per sentence
  ✓ ch03-p07-s00  (19 chars, 16KB)
  ✓ ch03-p08-s00  (37 chars, 24KB)
  ✓ ch03-p09-s00  (21 chars, 18KB)
  ✓ ch03-p08-s01  (84 chars, 45KB)
  ✓ ch03-p07-s01  (43 chars, 27KB)
  ✓ ch03-p08-s02  (63 chars, 37KB)
  ✓ ch03-p09-s01  (30 chars, 22KB)
  ✓ ch03-p10-s00  (32 chars, 21KB)
  ✓ ch03-p10-s03  (121 chars, 82KB)
  ✓ ch03-p10-s02  (91 chars, 62KB)
  ✓ ch03-p11-s01  (42 chars, 26KB)
  ✓ ch03-p11-s00  (25 chars, 19KB)
  ✓ ch03-p10-s01  (69 chars, 53KB)
  ✓ ch03-p11-s02  (31 chars, 21KB)
  ✓ ch03-p12-s00  (27 chars, 21KB)
  ✓ ch03-p10-s04  (62 chars, 35KB)
  ✓ ch03-p11-s03  (59 chars, 33KB)
  ✓ ch03-p12-s01  (67 chars, 39KB)
  ✓ ch03-p13-s00  (37 chars, 24KB)
  ✓ ch03-p12-s03  (51 chars, 30KB)
  ✓ ch03-p12-s02  (44 chars, 25KB)
  ✓ ch03-p18-s00  (34 chars, 24KB)
  ✓ ch03-p16-s00  (49 chars, 41KB)
  ✓ ch03-p19-s00  (34 chars, 23KB)
  ✓ ch03-p18-s01  (24 chars, 19KB)
  ✓ ch03-p19-s02  (38 chars, 24KB)
  ✓ ch03-p20-s00  (16 chars, 14KB)
  ✓ ch03-p20-s02  (88 chars, 48KB)
  ✓ ch03-p21-s00  (34 chars, 23KB)
  ✓ ch03-p20-s01  (99 chars, 66KB)
  ✓ ch03-p15-s01  (29 chars, 22KB)
  ✓ ch03-p19-s01  (76 chars, 41KB)
  ✓ ch03-p21-s01  (49 chars, 31KB)
  ✓ ch03-p22-s01  (27 chars, 21KB)
  ✓ ch03-p23-s00  (26 chars, 20KB)
  ✓ ch03-p22-s00  (22 chars, 17KB)
  ✓ ch03-p23-s02  (89 chars, 47KB)
  ✓ ch03-p24-s00  (64 chars, 50KB)
  ✓ ch03-p22-s02  (60 chars, 34KB)
  ✓ ch03-p23-s01  (61 chars, 34KB)
  ✓ ch03-p25-s01  (35 chars, 25KB)
  ✓ ch03-p26-s00  (38 chars, 23KB)
  ✓ ch03-p25-s00  (12 chars, 13KB)
  ✓ ch03-p26-s01  (39 chars, 24KB)
  ✓ ch03-p26-s02  (60 chars, 35KB)
  ✓ ch03-p27-s00  (19 chars, 16KB)
  ✓ ch03-p27-s01  (69 chars, 53KB)
  ✓ ch03-p28-s01  (16 chars, 15KB)
  ✓ ch03-p29-s00  (41 chars, 27KB)
  ✓ ch03-p27-s02  (28 chars, 21KB)
  ✓ ch03-p28-s00  (48 chars, 29KB)
  ✓ ch03-p29-s01  (43 chars, 26KB)
  ✓ ch03-p29-s02  (20 chars, 16KB)
  ✓ ch03-p30-s00  (26 chars, 19KB)
  ✓ ch03-p30-s01  (44 chars, 27KB)
  ✓ ch03-p30-s02  (43 chars, 27KB)
  ✓ ch03-p31-s00  (38 chars, 25KB)
  ✓ ch03-p31-s02  (77 chars, 42KB)
